,modo_llegada,modo_salida,pesoKG,tiempoMin,tiempoHoras
0,barco,tren,51500335,2917.088936995303,48
1,tren,barco,28016847,1991.5185675245316,33
2,barco,tren,14928863,1366.1140609802385,22
3,barco,tren,5044243,407.90292822550754,6
4,tren,barco,23484019,1544.75598499682,25
5,tren,barco,19844679,2566.908201091964,42
6,barco,tren,11392364,1081.5207416419257,18
7,tren,barco,14028624,1063.933299745328,17
8,tren,barco,11680487,1570.320123793437,26
9,tren,barco,39153629,3334.6438279829576,55
10,tren,barco,16102703,1173.9106170673267,19
11,tren,barco,33433994,2819.4977452472203,46
12,tren,barco,59611817,6786.677592776954,113
13,tren,barco,56842309,6374.36625870214,106
14,tren,barco,39896859,4472.610245021162,74
15,barco,tren,1618466,159.51204418556225,2
16,barco,tren,4077983,336.2566751770016,5
17,barco,tren,14275692,818.8496082920971,13
18,tren,barco,16065097,1110.9323707968165,18
19,tren,barco,25689199,2577.978243544357,42
20,barco,tren,20368756,1201.6119936719579,20
21,barco,tren,29855149,1812.6500386383757,30
22,barco,tren,43919598,3262.7817602642394,54
23,tren,barco,10740116,1069.4952376870087,17
24,barco,tren,20833050,394.0515711120387,6
25,barco,tren,58403508,6354.586736004403,105
26,barco,tren,56962114,3184.4758549437665,53
27,tren,barco,17741036,1904.0442923782396,31
28,tren,barco,37149663,3659.1873645316323,60
29,tren,barco,17861231,1923.2358847059163,32
30,tren,barco,50301484,4313.983942786603,71
31,barco,tren,28626402,2796.5395985119526,46
32,tren,barco,27952106,3891.0022017954584,64
33,barco,tren,50464455,3170.5604837012747,52
34,tren,barco,51473229,3909.092485130399,65
35,tren,barco,30852863,2764.011026756801,46
36,barco,tren,8505770,641.6106264521146,10
37,barco,tren,4658848,334.2882349819338,5
38,tren,barco,46457470,3931.9907627607886,65
39,barco,tren,28193781,2592.6162968018693,43
40,tren,barco,19937516,1731.9133362059808,28
41,barco,tren,19343806,1251.003107858825,20
42,barco,tren,55208576,2847.201972677181,47
43,tren,barco,43314741,4237.825886432708,70
44,tren,barco,12167296,800.7898731162506,13
45,barco,tren,20590276,1858.3707908100416,30
46,tren,barco,44202985,2374.7987818931997,39
47,barco,tren,42019120,2937.0157235647566,48
48,tren,barco,55589050,4974.60192287219,82
49,barco,tren,16971345,1424.9690797801716,23
50,barco,tren,21614571,1287.176577152284,21
51,tren,barco,8747700,611.7179220600391,10
52,barco,tren,4261747,242.4809268862599,4
53,barco,tren,52237168,3066.5292326250615,51
54,barco,tren,4070277,417.0226519556081,6
55,tren,barco,2052585,195.81416292911155,3
56,tren,barco,30077984,4502.19605593552,75
57,tren,barco,40096517,4327.032967502987,72
58,tren,barco,52370854,5713.216873313582,95
59,barco,tren,27467507,1370.4952698802247,22
60,barco,tren,37594163,4222.741391935663,70
61,barco,tren,1105673,108.6428087123935,1
62,tren,barco,54528364,5400.435888045867,90
63,tren,barco,33834553,2592.5578665783282,43
64,barco,tren,55751401,4880.726999219424,81
65,barco,tren,33036890,1721.8234351720182,28
66,tren,barco,41755907,3243.7247308917667,54
67,barco,tren,37986328,2019.8111627620917,33
68,tren,barco,9622239,1540.1768579778259,25
69,barco,tren,40116978,4808.701660798877,80
70,barco,tren,3211779,267.88753739619847,4
71,barco,tren,23410957,1812.678399947666,30
